Run,Scene,Rank,Noise Strength,Controlnet
12139481,053,128,0.3,Yes
12139557,053,128,0.2,Yes
12139552,053,128,0.1,Yes
12139539,028,128,0.3,Yes
12139537,028,128,0.1,Yes
12139531,016,128,0.3,Yes
12139530,016,128,0.2,Yes
12139529,016,128,0.1,Yes
12139523,011,128,0.3,Yes
12139522,011,128,0.2,Yes
12139521,011,128,0.1,Yes
12139517,001,128,0.3,Yes
12139516,001,128,0.2,Yes
12139515,001,128,0.1,Yes
12139491,011,128,0.1,No
12139492,011,128,0.2,No
12139487,001,128,0.3,No
12139485,001,128,0.1,No
12139497,016,128,0.1,No
12139498,016,128,0.2,No
12139486,001,128,0.2,No
12139499,016,128,0.3,No
12139504,028,128,0.2,No
12139505,028,128,0.3,No
12139503,028,128,0.1,No
12139510,053,128,0.2,No
12139509,053,128,0.1,No
12139511,053,128,0.3,No
12139546,053,4,0.3,Yes
12139541,053,4,0.2,Yes
12139540,053,4,0.1,Yes
12139536,028,4,0.3,Yes
12139535,028,4,0.2,Yes
12139532,028,4,0.1,Yes
12139528,016,4,0.3,Yes
12139525,016,4,0.2,Yes
12139524,016,4,0.1,Yes
12139520,011,4,0.3,Yes
12139519,011,4,0.2,Yes
12139518,011,4,0.1,Yes
12139514,001,4,0.3,Yes
12139512,001,4,0.1,Yes
12139513,001,4,0.2,Yes
12139488,011,4,0.1,No
12139495,016,4,0.2,No
12139501,028,4,0.2,No
12139490,011,4,0.3,No
12139502,028,4,0.3,No
12139500,028,4,0.1,No
12139489,011,4,0.2,No
12139496,016,4,0.3,No
12139483,001,4,0.2,No
12139484,001,4,0.3,No
12139494,016,4,0.1,No
12139482,001,4,0.1,No
12139506,053,4,0.1,No
12139508,053,4,0.3,No
12139507,053,4,0.2,No